ILI	EN	UA_WORD	UA_DEF
i67593	manner: a kind	манера	 своєрідна
i98521	Juniperus: junipers	Juniperus	 ялівці
i99676	mustard: any of several cruciferous plants of the genus Brassica	гірчиця	 будь-яка з декількох хрестоцвітих рослин роду Brassica
i100955	grain: a cereal grass	зерно	 злакова трава
i102323	shallot: aggregate bulb of the multiplier onion	цибуля-шалот	 сукупна цибулина цибулі-мультиплікатора
i112312	pericarditis: inflammation of the pericardium	перикардит	 запалення перикарда
i112365	ileitis: inflammation of the ileum	ілеїт	 запалення клубової кишки
i112697	stew: agitation resulting from active worry	тушкування	 хвилювання, що виникає внаслідок активної тривоги
i52224	compass: navigational instrument for finding directions	компас	 навігаційний інструмент для визначення напрямку
i55596	leading edge: forward edge of an airfoil	передня кромка	 передня кромка крила
i56565	nest: a kind of gun emplacement	гніздо	 різновид розміщення гармати
i44488	python: large Old World boas	пітон	 великі удави Старого Світу
i47984	Castoridae: beavers	Castoridae	 бобри
i48647	simian: an ape or monkey	примат	 мавпа або мавпа
i48858	coon: North American raccoon	єнот	 Північноамериканський єнот
i48937	codling: young codfish	Вирощування тріски	 молодь тріски
i25540	soft-soap: use flattering talk on somebody	м'яке мило	 улесливо говорити про когось
i25996	urge: push for something	спонукати	 домагатися чогось
i31890	diffract: undergo diffraction	дифрагувати	 піддаватися дифракції
i80144	host: a vast multitude	приймаюча сторона	 величезна кількість людей
i80424	lot: an unofficial association of people or groups	лот	 неофіційне об'єднання людей або груп
i82710	capital of Cameroon: the capital of Cameroon	столиця Камеруну	 столиця Камеруну
i82800	Yamoussoukro: capital of the Ivory Coast	Ямусукро	 столиця Кот-д'Івуару
i83000	capital of Ecuador: the capital of Ecuador	столиця Еквадору	 столиця Еквадору
i83003	Asmara: the capital of Eritrea	Асмара	 столиця Еритреї
i83184	Ljubljana: the capital of Slovenia	Любляна	 столиця Словенії
i83187	Zagreb: the capital of Croatia	Загреб	 столиця Хорватії
i83720	capital of Gabon: the capital of Gabon	столиця Габону	 столиця Габону
i83732	Bissau: the capital of Guinea-Bissau	Бісау	 столиця Гвінеї-Бісау
i83850	Wellington: the capital of New Zealand	Веллінгтон	 столиця Нової Зеландії
i83944	Sao Tome: capital of Sao Tome and Principe	Сан-Томе	 столиця Сан-Томе і Принсіпі
i66035	skullcap: the dome of the skull	тюбетейка	 купол черепа
i70973	Linux: an open-source version of the UNIX operating system	Linux	 версія операційної системи UNIX з відкритим вихідним кодом
i109147	ten thousand: the cardinal number that is the product of ten and one thousand	десять тисяч	 кардинальне число, яке є добутком десяти і тисячі
i88497	bawler: a loud weeper	bawler	 голосний плакса
i93575	teetotaler: a total abstainer	непитущий	 людина, яка повністю утримується від алкоголю
i15573	medullary: of or relating to the medulla of any body part	мозковий	 який стосується мозку будь-якої частини тіла або пов'язаний з ним
i16712	testicular: of or involving the testes	тестикулярний	 про яєчка або за участю яєчок
i23382	twig: branch out in a twiglike manner	гілочка	 розгалужуватися, як гілочка
i10770	unrhymed: not having rhyme	неримований	 без рими
i36815	refabrication: assembling again	рефабрикування	 збираємо знову
i37351	scattering: the act of scattering	розсіювання	 акт розсіювання
i38386	lob: an easy return of a tennis ball in a high arc	lob	 легке повернення тенісного м'яча по високій дузі
i85851	requisite: anything indispensable	необхідне	 все незамінне
i88426	ballerina: a female ballet dancer	балерина	 артистка балету
i4639	inelastic: not elastic	нееластичний	 не пружний
i52098	coax cable: a transmission line for high-frequency signals	коаксіальний кабель	 лінія передачі високочастотних сигналів
i60709	undies: women's underwear	нижня білизна	 жіноча нижня білизна
i83722	capital of Gambia: a port city and capital of Gambia	столиця Гамбії	 портове місто і столиця Гамбії
i61859	inappositeness: inappropriateness	inappositeness	 недоречність
i74051	consonant: a speech sound that is not a vowel	приголосний	 звук мови, який не є голосним
i37408	merging: a flowing together	злиття	 злиття воєдино
i69521	frequency modulation: modulation of the frequency of the (radio) carrier wave	частотна модуляція	 модуляція частоти (радіо) несучої хвилі
i76567	luncheon: a midday meal	обід	 полуденок
i51003	freighter: a cargo ship	фрахтівник	 вантажне судно
i48199	pig: domestic swine	свиня	 домашня свиня
i29295	sling: hurl as if with a sling	слінг	 кидати, як за допомогою слінгу
i90312	great grandfather: a father of your grandparent	прадідусь	 батько твого дідуся чи бабусі
i74528	negation: the speech act of negating	заперечення	 мовленнєвий акт заперечення
i106115	field horsetail: of Eurasia and Greenland and North America	хвощ польовий	 з Євразії та Гренландії і Північної Америки
i35312	compare: be comparable	порівнювати	 бути порівнянним
i61178	window: a pane of glass in a window	вікно	 скляна панель у вікні
i57632	power station: an electrical generating station	електростанція	 електрогенеруюча станція
i113481	visual impairment: impairment of the sense of sight	порушення зору	 погіршення зору
i69835	subtitle: secondary or explanatory title	субтитри	 вторинний або пояснювальний заголовок
i84149	capital of Tunisia: the capital and principal port of Tunisia	столиця Тунісу	 столиця і головний порт Тунісу
i89064	coiffeuse: a woman hairdresser	coiffeuse	 жінка-перукарка
i24368	come out: come out of	вийти	 вийти з
i61923	replaceability: exchangeability by virtue of being replaceable	замінність	 взаємозамінність завдяки тому, що вони є замінними
i24715	figure: understand	малюнок	 зрозуміти
i62772	subservience: abject or cringing submissiveness	підлабузництво	 покірна або боязлива покірність
i30023	break up: take apart into its constituent pieces	розпадатися	 розбиратися на складові частини
i53841	flatware: silverware eating utensils	столовий посуд	 столовий посуд зі срібла
i69520	amplitude modulation: modulation of the amplitude of the (radio) carrier wave	амплітудна модуляція	 модуляція амплітуди (радіо) несучої хвилі
i106643	capital gains tax: a tax on capital gains	податок на приріст капіталу	 податок на приріст капіталу
i23925	step up: speed up	крок вперед	 прискорення
i56802	outboard: a motorboat with an outboard motor	підвісний	 моторний човен з підвісним двигуном
i22811	moil: moisten or soil	moil	 зволожувати або ґрунтувати
i62114	inertness: immobility by virtue of being inert	інертність	 нерухомість через інертність
i62359	devoutness: piety by virtue of being devout	побожність	 побожність через те, що вона є побожною
i4126	uniform: not differentiated	рівномірний	 не диференційований
